#,Produit,Marque,Catégorie,Nuit,Texture,Prix,Note,Avis,BSR,Actifs,Cibles,Types de peau,Moment,Fréquence,Grossesse,Peau sensible,Irritation(0-5),Force(1-5),Preuve(1-5),Sans parfum,Sentiment,Peau grasse,Peau sèche,Peau mixte,Peau sensible,Peau normale,Customers say,Image
1,CeraVe Foaming Facial Cleanser,CeraVe,nettoyant,,,15.97,4.8,102671,46,niacinamide/céramides,"flaking, pores, redness, shine","grasse, mixte, normale, seche, sensible",both,daily,ok,ok,0,2,4,oui,0.86,👍 oui,⚠️ prudence,👍 oui,👍 oui,👍 oui,"Customers find this facial cleanser effective, particularly for oily skin, and appreciate that it doesn't dry out their skin while leaving it smooth and hydrated. Moreover, the product is gentle, removes makeup well, and offers good value for money, with one customer noting it's a big savings compar…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/001_B01N1LL62W.png
2,The Ordinary Squalane Cleanser,DECIEM,nettoyant,,,10.5,4.6,5888,2749,squalane,flaking,"normale, seche",both,daily,ok,ok,0,1,3,?,0.80,⚠️ prudence,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find the cleanser effective at removing makeup and appreciate its gentle, creamy texture that feels like rubbing butter on the face, leaving skin feeling fresh and hydrated. The cleansing performance and value for money receive mixed reviews - while some praise its effectiveness and consid…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/002_B07PSKR85S.png
3,Cetaphil Hydrating Gentle Skin Cleanser,Cetaphil,nettoyant,,,9.99,4.7,15274,265,doux,"flaking, redness","normale, seche, sensible",both,daily,ok,ok,0,1,3,oui,0.85,?,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find this facial cleanser effective and gentle on skin, particularly noting its suitability for sensitive skin and its non-irritating properties. They appreciate its creamy texture that feels like silk, its fragrance-free formula, and consider the 20oz size a good value. While some custome…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/003_B099N3NM61.png
4,CeraVe Hydrating Facial Cleanser,CeraVe,nettoyant,,,13.49,4.7,131467,35,céramides,"flaking, redness","normale, seche, sensible",both,daily,ok,ok,0,1,4,oui,0.88,⚠️ prudence,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find this facial cleanser effective and moisturizing, leaving their skin feeling clean and hydrated with a soft, smooth texture. The product is gentle on sensitive and dry skin, and customers appreciate that it's fragrance-free. While some customers report that it removes all makeup easily…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/004_B01MSSDEPK.png
5,Vanicream Gentle Facial Cleanser,Vanicream,nettoyant,,,9.97,4.7,34109,42,sans parfum,"flaking, redness","normale, seche, sensible",both,daily,ok,ok,0,1,3,oui,0.87,?,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find this facial cleanser effective at removing makeup and appreciate its moisturizing properties, particularly noting it's good for dry skin and doesn't cause irritation. The product is gentle on the skin, leaving it feeling soft and clean, and customers like that it's fragrance-free. The…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/005_B00QY1XZ4W.png
6,Neutrogena Hydro Boost Cleansing Gel,Johnson & Johnson,nettoyant,,,19.99,4.7,24707,40902,acide hyaluronique,flaking,"normale, seche",both,daily,ok,ok,0,1,4,non,0.85,👍 oui,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find this facial cleanser effective at removing makeup while leaving skin moisturized, soft, and supple. The product is gentle enough for daily use, particularly suitable for sensitive skin, and customers report their skin looks healthy and clearer after use. They appreciate its pleasant s…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/006_B01LETURZI.png
7,La Roche-Posay Effaclar Purifying Gel,La Roche Posay,nettoyant,,,18.73,4.7,54610,1609,zinc,"acne, shine","grasse, mixte",both,daily,ok,ok,0,2,3,?,0.82,👍 oui,⚠️ prudence,👍 oui,👍 oui,👍 oui,"Customers find this cleanser effective for oily and acne-prone skin, taking off makeup well without over-drying, and appreciate its gentle, baby-soft feel. The product foams up well and lasts a long time, with one customer noting it cleanses without stripping the skin. While some customers find it w…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/007_B003JSEGNC.png
8,LRP Toleriane Hydrating Gentle Cleanser,La Roche-Posay,nettoyant,,,14.98,4.6,38786,47,céramides/niacinamide,"flaking, pores, redness, shine","grasse, mixte, normale, seche, sensible",both,daily,ok,ok,0,2,4,oui,0.85,?,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find this face cleanser effective and gentle, leaving their face feeling clean and amazing. The product is moisturizing, doesn't dry skin, and is dermatologist-recommended, with a nearly scentless formula. Regarding makeup removal, while some say it thoroughly removes makeup, others report…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/008_B01N7T7JKJ.png
9,Paula's Choice CLEAR Pore Normalizing Cleanser,Paula's Choice,nettoyant,,,16.78,4.6,6973,2921,acide salicylique,"acne, comedones, pores, shine","grasse, mixte",both,daily,⛔,⚠,1,3,5,oui,0.82,👍 oui,⚠️ prudence,👍 oui,👍 oui,👍 oui,"Customers find this facial cleanser effective at clearing skin and removing makeup and oil, while being gentle on the skin and leaving it moisturized without drying. The product receives positive feedback for its fragrance-free formula and easy application, with one customer noting it works well for…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/009_B06ZYNQZKF.png
10,First Aid Beauty Ultra Gentle Cleanser,FIRST AID BEAUTY,nettoyant,,,12,4.6,2167,4171,avoine colloïdale,"flaking, redness","normale, seche, sensible",both,daily,ok,ok,0,1,3,oui,0.82,?,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find this facial cleanser effective at removing makeup and clearing skin, while being gentle on sensitive skin and moisturizing throughout the day. The product receives positive feedback for its texture, with one customer describing it as having a light creamy feeling, and customers apprec…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/010_B0FY763X7R.png
